# Rime user dictionary
#@/db_name	luwei.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	8531
#@/user_id	win10-olymk
a 	啊	c=119 d=2.01088 t=8531
zao zhi dao 	早知道	c=1 d=1 t=8177
ze shi 	則是	c=1 d=0.263158 t=8531
zen me 	怎麼	c=37 d=2.32502 t=8458
zen me ban 	怎麼辦	c=1 d=1 t=4675
zeng duo 	增多	c=1 d=1 t=6382
zeng jia 	增加	c=3 d=1 t=8129
zeng zhi 	增值	c=1 d=1 t=8034
zhan 	棧	c=1 d=0.995834 t=550
zhan tie 	粘貼	c=1 d=1 t=7205
zhang 	漲	c=1 d=1 t=5783
zhang hao 	帳號	c=12 d=2.06497 t=5466
zhang kong 	掌控	c=1 d=1 t=1122
zhao 	找	c=4 d=1 t=8512
zhao 	招	c=1 d=1 t=960
zhao 	照	c=1 d=1 t=3182
zhao 	趙	c=1 d=1 t=6868
zhao bu dao 	找不到	c=1 d=1 t=6089
zhao dao 	找到	c=2 d=1.00009 t=8308
zhao dao le 	找到了	c=1 d=1 t=4887
zhao feng 	趙楓	c=1 d=1 t=2598
zhao jie kou 	找藉口	c=1 d=1 t=1052
zhao shang yin zi 	招商引資	c=1 d=1 t=3641
zhao tian 	趙田	c=1 d=1 t=765
zhe 	着	c=3 d=1.01829 t=8464
zhe 	這	c=36 d=3.00818 t=8531
zhe ba 	這把	c=1 d=1 t=1038
zhe bian 	這邊	c=7 d=2.04067 t=5512
zhe cai 	這才	c=1 d=1 t=1274
zhe ci 	這次	c=3 d=1.00002 t=4183
zhe dian nao 	這電腦	c=1 d=1 t=626
zhe ge 	這個	c=60 d=0.29078 t=8531
zhe ge qun 	這個羣	c=1 d=1 t=3634
zhe ge shu ru fa 	這個輸入法	c=1 d=0.955997 t=8531
zhe ge yang 	這個樣	c=1 d=1 t=2055
zhe hui shi 	這回事	c=1 d=1 t=2909
zhe jiu 	這就	c=1 d=0.484325 t=8531
zhe kou 	折扣	c=1 d=1 t=2822
zhe li 	哲理	c=1 d=1 t=7049
zhe li 	這裏	c=4 d=1.00018 t=7048
zhe liang ge 	這兩個	c=1 d=1 t=2069
zhe me 	這麼	c=8 d=1.10348 t=8489
zhe me xie 	這麼寫	c=1 d=1 t=1241
zhe shi 	這是	c=13 d=0.649123 t=8531
zhe shuang 	這雙	c=1 d=1 t=7125
zhe tiao 	這條	c=1 d=1 t=2965
zhe xie 	這些	c=10 d=0.800417 t=8531
zhe yang 	這樣	c=15 d=2.15756 t=8531
zhe yang de 	這樣的	c=2 d=0.218712 t=8531
zhe yang fa 	這樣發	c=1 d=1 t=4826
zhe zhi shi 	這只是	c=1 d=1 t=1055
zhe zhong 	這種	c=9 d=1.1826 t=8080
zhe zhong gong 	這中共	c=1 d=1 t=4754
zhe zhong ren 	這種人	c=1 d=1 t=3571
zhe zhou 	這周	c=1 d=1 t=1909
zhen 	真	c=4 d=0.620147 t=8327
zhen de 	真的	c=11 d=2.39102 t=8531
zhen ji er 	真雞兒	c=1 d=1 t=8328
zhen shi 	真實	c=6 d=1.21981 t=7835
zhen shi 	真是	c=2 d=1.00005 t=2473
zhen xi 	珍惜	c=4 d=3.66986 t=3284
zhen zheng 	真正	c=1 d=1 t=1060
zheng chang 	正常	c=5 d=1.00043 t=5871
zheng ge 	整個	c=1 d=1 t=1641
zheng shu 	證書	c=2 d=1.94176 t=5959
zheng tian 	整天	c=1 d=1 t=3639
zheng zai 	正在	c=4 d=1 t=7230
zheng ze 	正則	c=10 d=1 t=4774
zheng ze lei 	正則類	c=1 d=1 t=822
zhi 	值	c=6 d=1.94649 t=6931
zhi 	只	c=3 d=1.00032 t=7840
zhi 	指	c=6 d=1.31231 t=8198
zhi biao 	指標	c=1 d=1 t=1819
zhi bu guo 	只不過	c=1 d=1 t=3355
zhi chi 	支持	c=2 d=0.100002 t=7855
zhi dao 	知道	c=9 d=1.55997 t=6285
zhi ding 	制定	c=0 d=0.0135335 t=8531
zhi ding 	指定	c=4 d=1 t=6919
zhi ding hua 	制定話	c=1 d=0.136014 t=8531
zhi fu 	支付	c=41 d=1.00005 t=7711
zhi fu bao 	支付寶	c=4 d=1 t=5680
zhi fu de 	支付的	c=1 d=1 t=2932
zhi fu qu dao 	支付渠道	c=1 d=1 t=592
zhi gao 	至高	c=1 d=1 t=6046
zhi hou 	之後	c=5 d=1.0145 t=7939
zhi huan 	置換	c=0 d=0.1 t=3341
zhi jie 	直接	c=13 d=1.29233 t=8503
zhi lei 	之類	c=1 d=1 t=6566
zhi lian 	直連	c=2 d=1 t=5863
zhi ming 	致命	c=0 d=0.1 t=6336
zhi neng 	只能	c=6 d=1.7682 t=6301
zhi neng 	智能	c=0 d=0.1 t=5697
zhi neng jia shi 	智能駕駛	c=1 d=1 t=5698
zhi qian 	之前	c=5 d=1.1166 t=7301
zhi sheng xia 	只剩下	c=1 d=1 t=4553
zhi shi 	只是	c=11 d=0.287941 t=8531
zhi shi 	知識	c=4 d=0.560403 t=8531
zhi xing 	執行	c=6 d=1.2585 t=8317
zhi yao 	只要	c=11 d=2.00362 t=7401
zhi you 	只有	c=5 d=1.00019 t=8439
zhi zhen 	指針	c=1 d=1 t=7828
zhong 	中	c=19 d=1.63636 t=7095
zhong gong 	中共	c=0 d=0.1 t=4753
zhong guo 	中國	c=1 d=1 t=2250
zhong ji 	中級	c=1 d=1 t=678
zhong jian 	中間	c=3 d=1.00069 t=7325
zhong wen 	中文	c=3 d=1.99005 t=6423
zhong wu 	中午	c=1 d=0.519442 t=8531
zhong yao 	重要	c=2 d=0.371577 t=8531
zhou 	周	c=1 d=1 t=6424
zhou bao 	週報	c=1 d=1 t=1917
zhou mo 	週末	c=2 d=1 t=8396
zhou si 	週四	c=1 d=1 t=4971
zhou wu 	週五	c=3 d=2.67536 t=5015
zhu 	主	c=0 d=0.1 t=3764
zhu ce 	註冊	c=1 d=1 t=6336
zhu fen zhi 	主分支	c=1 d=1 t=3765
zhu fu 	祝福	c=1 d=1 t=3437
zhu jian 	主鍵	c=2 d=1.82283 t=6790
zhu jie 	註解	c=1 d=1 t=726
zhu xiao 	註銷	c=1 d=1 t=2489
zhu yao 	主要	c=3 d=1 t=8384
zhu yao shi 	主要是	c=2 d=1 t=5747
zhuan 	賺	c=2 d=1 t=5815
zhuan 	轉	c=2 d=1 t=6858
zhuan huan 	轉換	c=3 d=1.39707 t=6914
zhuan ye 	專業	c=1 d=1 t=7041
zhuang 	裝	c=2 d=1.97045 t=8062
zhuang tai 	狀態	c=5 d=0.694197 t=8531
zhuang tai ma 	狀態碼	c=2 d=1.97531 t=7862
zhui 	追	c=1 d=1 t=2534
zhui qiu 	追求	c=1 d=1 t=7169
zhun bei 	準備	c=4 d=1.78663 t=8460
zhuo mian 	桌面	c=5 d=1.24784 t=7865
zi 	字	c=0 d=0.099005 t=8531
zi 	自	c=2 d=1.22764 t=4815
zi ce 	自測	c=3 d=1.00002 t=4516
zi chan 	資產	c=1 d=1 t=5587
zi dai 	自帶	c=1 d=1 t=7180
zi ding yi 	自定義	c=2 d=1 t=7860
zi dong 	自動	c=3 d=1.00074 t=3929
zi duan 	字段	c=6 d=1.66776 t=6929
zi duan ming 	字段名	c=2 d=1.5627 t=1579
zi fu chuan 	字符串	c=1 d=1 t=7785
zi ji 	自己	c=9 d=1.40675 t=6000
zi ji lu 	自己擼	c=1 d=1 t=736
zi jian 	自建	c=1 d=1 t=5228
zi jie 	字節	c=0 d=0.1 t=561
zi jie ma 	字節碼	c=1 d=1 t=562
zi jin 	資金	c=3 d=2.95064 t=5646
zi liao 	資料	c=2 d=0.228779 t=8531
zi shi 	姿勢	c=0 d=0.1 t=2836
zi shi bu dui 	姿勢不對	c=1 d=1 t=2837
zi xi 	仔細	c=1 d=0.178173 t=8531
zi you 	自有	c=1 d=1 t=644
zi you 	自由	c=5 d=0.592951 t=8531
zi yuan 	資源	c=2 d=1 t=8296
zong 	總	c=8 d=1.02797 t=7097
zong de 	總的	c=2 d=0.31504 t=8531
zong jie 	總結	c=1 d=1 t=1799
zong shi 	總是	c=1 d=0.594521 t=8531
zong zhi 	綜指	c=0 d=0.1 t=5992
zong zhi 	總之	c=1 d=1 t=3363
zou guo 	走過	c=0 d=0.1 t=943
zou guo lu guo bu yao cuo guo 	走過路過不要錯過	c=1 d=1 t=944
zou le 	走了	c=1 d=1 t=7874
zou zai 	走在	c=1 d=1 t=3325
zu 	組	c=3 d=0.100004 t=7542
zu gou 	足夠	c=1 d=1 t=3849
zu se 	阻塞	c=1 d=1 t=8127
zui duan 	最短	c=0 d=0.1 t=543
zui duan lu jing 	最短路徑	c=1 d=1 t=544
zui gao 	最高	c=1 d=1.08511 t=1829
zui gao zhi 	最高值	c=2 d=1.93239 t=1844
zui hao 	最好	c=2 d=1 t=7559
zui hou 	最後	c=2 d=1 t=8475
zui jia 	最佳	c=1 d=1 t=5590
zui le 	醉了	c=1 d=1 t=6030
zui wei 	最爲	c=0 d=0.1 t=6336
zui wei zhi ming 	最爲致命	c=1 d=1 t=6337
zui xin 	最新	c=1 d=1 t=2111
zui zhong 	最終	c=1 d=1 t=1243
zuo 	做	c=8 d=1.00452 t=4790
zuo de 	做的	c=1 d=1 t=1190
zuo de hao 	做得好	c=1 d=1 t=1186
zuo guo 	做過	c=1 d=1 t=2177
zuo le 	做了	c=2 d=1 t=7609
zuo tian 	昨天	c=6 d=0.649363 t=8531
zuo wei 	作爲	c=1 d=1 t=5578
zuo you 	左右	c=1 d=1 t=7329
zuo you ming 	座右銘	c=1 d=1 t=901
